CustomerID,CustomerName,LoanID,LoanAmount,LoanInterestRate,LoanDuration,LoanStartDate,OfficerID,OfficerName,OfficerPhone,OfficerEmail,BranchID,BranchName,BranchAddress,PaymentID,PaymentDate,PaymentAmount,TransactionID,TransactionDate,TransactionType
88,Nicole Pena,148,6723.11,8.24,24 months,24/09/2022,7,Katherine Dennis,999.798.3635x80775,jessewalker@example.net,11,Shaw Ltd,"USCGC Whitney
FPO AP 34274",4028,17/01/2024,405.12,4873,17/01/2024,Principal Payment
434,Matthew Holmes,200,27375.26,4.35,36 months,04/10/2023,31,Angela Bennett,-5832,cody43@example.net,7,Castillo-Bell,"358 Connie Fort Apt. 573
Kimchester, ME 83801",1453,01/03/2024,2619.69,5876,01/03/2024,Interest Payment
64,Christian Blair,412,30519.88,4.1,48 months,22/12/2022,35,Chad Walker,(816)957-8642x934,samanthaphillips@example.org,7,"Harris, Randolph and Johns","USS Sullivan
FPO AP 14466",5478,26/11/2023,2882.62,7023,26/11/2023,Interest Payment
430,James Allen,300,38167.5,8.14,36 months,01/05/2020,10,Daniel Holmes,9538673266,patricksimmons@example.org,19,"Hayes, Wilson and Taylor","24435 Gomez Ville
New Christinaborough, GU 54053",5335,29/11/2023,418.59,4580,29/11/2023,Interest Payment
57,Kristin Reyes,33,11355.12,4.16,48 months,23/01/2020,1,Francisco Barton,570-874-2272x9540,brianwade@example.net,2,Brown Group,"7573 Cassidy Ports
Danielview, DE 97424",3527,17/02/2022,128.4,2016,17/02/2022,Loan Payment
496,Rhonda Turner,609,16920.72,7.56,12 months,03/11/2021,28,Elizabeth Maldonado,817-968-4960x65064,mcmillanhannah@example.net,14,"Perez, James and Cook","475 Lee Trace Suite 096
Port Derrickside, OH 73316",8800,11/10/2023,1298.31,5460,11/10/2023,Principal Payment
180,Brittney Townsend,507,30032.34,9.18,12 months,27/01/2022,2,Chad Patel,843-668-9649,catherine82@example.com,12,Manning and Sons,"051 Reed Unions Apt. 672
East Patrick, LA 63870",9978,09/01/2024,1213.98,2965,09/01/2024,Interest Payment
44,Nicole Simpson,439,25035.36,8.64,48 months,18/07/2020,39,Louis Anderson,998-773-8272x862,monica08@example.net,14,"Dodson, Ramsey and Nielsen","348 Griffin Mount
Russellborough, DC 61686",150,01/08/2020,1458.19,8753,01/08/2020,Interest Payment
419,Eric Garcia,965,20132.06,9.71,24 months,29/11/2021,20,Kayla Macdonald,934.461.1157,mhayes@example.net,9,"Boone, Hall and Fernandez","0050 Prince Stream
Michelletown, VT 17199",4248,03/09/2023,202.59,3042,03/09/2023,Principal Payment
413,Tonya Leach,490,5439.26,6.83,60 months,27/12/2020,2,Kevin Pierce,977-835-8232,rnelson@example.com,20,"Glover, Hickman and Camacho","951 Rebecca Harbor Suite 286
Port Michellehaven, ID 65625",8041,10/05/2021,117.42,4364,10/05/2021,Interest Payment
281,Jacqueline Wright,999,22296.55,7.48,60 months,09/05/2020,40,Benjamin Hardin,778.388.1733x900,cheryljohnson@example.net,7,Lane Inc,"07313 Colleen Plain
Calebberg, IL 77831",4458,24/03/2022,1608,8512,24/03/2022,Principal Payment
46,Yvonne Anthony,213,36371.49,3.74,36 months,06/06/2023,45,Anita Prince,600.526.3818,ann02@example.net,9,"Barnes, Johnson and Campbell","0519 Shaw Bypass Suite 146
Wadechester, OH 77975",8857,09/01/2024,635.08,6795,09/01/2024,Loan Payment
168,Sherry Leblanc,526,2280.84,4.05,60 months,13/05/2020,28,Elizabeth Herrera,001-758-605-5461x2114,opalmer@example.org,16,Wang-Graves,"328 Jones View
Port Steven, CO 93610",6402,15/05/2021,174.34,7351,15/05/2021,Principal Payment
442,Kevin Stephens,602,46492.7,5.72,12 months,17/02/2024,39,Nicole Smith,001-881-298-9566,wellsconnor@example.net,6,Baker-Ward,"USNS Mcdonald
FPO AP 31813",2495,05/09/2024,3795.7,8990,05/09/2024,Principal Payment
53,Steven Hendricks,901,22657.97,4.74,12 months,04/11/2020,24,Patricia Robinson,(781)378-6219x87822,christophergoodwin@example.com,15,Adkins-Garcia,"95606 Gould Junction Suite 274
Quinnview, AS 18161",6089,12/04/2023,839.36,3017,12/04/2023,Loan Payment
464,Rebecca Reed,867,44204.7,6.5,60 months,03/12/2019,20,Brenda Patterson,285-779-6444,taylorjohnson@example.org,11,"Edwards, Ramirez and Brown","20101 Young Ville
Matthewview, SC 65448",2231,13/03/2020,4220.32,1475,13/03/2020,Principal Payment
282,Troy James,868,20667.7,6.17,24 months,22/10/2022,14,John Santos,(810)519-4470,jflores@example.net,3,Rich-Baxter,"8204 Kimberly Islands Suite 355
Sherrybury, KY 07065",2873,25/11/2023,662.46,8087,25/11/2023,Principal Payment
381,Sarah Case,966,47011.65,9.45,24 months,01/04/2024,11,Mark Santos,584-310-6851x94135,ssmith@example.net,12,Leach LLC,"608 Hannah Landing Apt. 316
Laneshire, MN 22326",758,23/08/2024,1008.9,1501,23/08/2024,Interest Payment
42,Brooke Pierce,114,27468.71,4.78,24 months,29/06/2023,40,Stephanie Moore,+1-520-390-1613x01705,bridget47@example.net,14,Palmer-Brown,"USCGC Rojas
FPO AE 47054",9654,13/09/2024,2315.64,1621,13/09/2024,Loan Payment
229,Jamie Davis,71,3073.71,8.19,60 months,01/03/2020,28,Robert Hurst,001-454-712-4450x422,prestondiaz@example.net,12,Lee Inc,"4965 Zachary Rapid
Odomfurt, NY 07811",6667,01/07/2020,232.15,3863,01/07/2020,Interest Payment
498,Joshua Davis,57,13664.23,4.04,12 months,27/06/2022,48,Brittany Sanchez,4496841553,reidgregory@example.com,20,"Davis, Little and Ward","509 Oconnor Lock
Mejialand, PR 24168",5842,11/01/2023,1283.16,9344,11/01/2023,Interest Payment
157,Mike Smith,527,19970.01,8.67,60 months,19/10/2021,8,Curtis Woodard,868-808-4934x0730,jason89@example.net,4,Boyd-Young,"567 Theodore Springs
Lake Kimberly, PA 09304",8283,25/11/2023,1575.01,7077,25/11/2023,Principal Payment
167,Zachary Rios,438,12185.81,10.21,12 months,22/09/2022,18,Jenna Wells,-10608,georgeperez@example.org,16,Terry LLC,"Unit 1293 Box 7626
DPO AE 76606",8944,19/06/2024,723.49,1857,19/06/2024,Loan Payment
51,Christina Robertson,330,16489.77,4.82,36 months,08/11/2019,37,Christine Davis,696-758-6694,mlloyd@example.org,1,Phillips-Atkins,"97184 Savage Points
East Kristina, MP 07842",6524,21/01/2021,403.46,9011,21/01/2021,Loan Payment
